# of days where Face Mask RECOMMENDED,# of Days where Face mask MANDATORY,Personal Income per Capita,Airports in Area,Population Density within cities,Pop Density within state (Per Sq Km),Median Age,POP20,% positive cases (may 25),Hotspot
45,0,49423,2,771.43,101,39.5,711674,0.0005,0
0,45,58104,2,315.07,143,39.7,917969,0.0021,0
0,16,42536,1,100.2,7,36.4,1078473,0.0015,0
57,52,54120,1,576.65,108,40.6,910805,0.0014,0
40,0,52473,1,666.88,76,34.9,6535073,0.0001,0
42,0,42053,1,171.78,67,36.6,620605,0.0002,0
21,0,58773,2,505.54,44,32.6,2356895,0.0001,0
58,0,39703,1,110.56,96,30.7,1065493,0.0022,0
45,0,62402,3,1081.87,239,38,2877698,0.0013,0
0,16,48042,1,189.72,37,34.3,912216,0.0010,0
24,0,50979,1,257.11,39,37.4,1209345,0.0001,0
0,30,45973,1,61.29,9,34.2,817829,0.0013,0
0,0,78694,1,1345.33,96,38.4,4719421,0.0030,1
0,40,120630,1,1485.79,288,39.4,952421,0.0166,1
0,45,50414,2,726.47,143,40.6,1101934,0.0050,1
30,0,51266,1,878.57,96,45.6,868378,0.0028,1
42,0,50958,2,282.16,67,35.4,804504,0.0003,0
42,0,52176,1,449.01,67,33.5,2322736,0.0000,0
40,0,45900,1,264.19,76,39.3,585293,0.0002,0
46,0,61089,4,1320.27,96,35.8,9838335,0.0077,1
59,0,54176,2,477.44,101,37.1,2257902,0.0001,0
45,0,53738,1,1027.15,101,40.5,2008682,0.0019,0
0,14,48492,1,274.46,22,34.6,775495,0.0024,0
42,0,44906,1,219.19,67,35.6,910415,0.0000,0
45,0,51165,2,430.93,101,32,2091857,0.0002,0
21,0,55886,1,834.45,44,33.5,7865614,0.0002,0
45,0,56111,1,2523,101,33.1,834881,0.0001,0
30,0,43028,1,375.64,155,44.7,551774,0.0014,0
0,14,64287,2,348.49,22,35.7,2991295,0.0011,0
36,0,54098,1,182.81,22,35.2,674057,0.0015,0
0,36,53086,2,1091.66,39,39,4145418,0.0000,0
30,0,54036,0,246.24,88,35,596446,0.0012,0
21,0,35836,1,156.51,44,32.9,943220,0.0030,1
0,34,65306,0,203.47,35,33,618255,0.0006,0
58,0,43084,1,165.9,96,30.7,1083751,0.0016,0
0,36,50463,1,387.79,39,35.5,809365,0.0001,0
30,0,43189,1,380.08,88,37.7,814209,0.0015,0
42,0,44213,1,326.66,67,0,724628,0.0020,0
0,44,52354,1,348.99,96,39.9,593110,0.0011,0
0,40,64337,1,790.18,288,40.2,1279683,0.0081,1
0,40,46034,1,5664,90,41.5,1037042,0.0004,0
21,0,56077,2,822.08,44,33.2,7499816,0.0000,0
24,0,49595,1,323.66,39,37.4,509332,0.0002,0
59,0,54179,1,473.12,96,36.7,2022389,0.0002,0
54,0,43772,1,107.12,25,32.4,584445,0.0005,0
30,0,49754,1,447.14,155,37.3,1612729,0.0000,0
46,0,53788,1,292.64,14,36.5,2256273,0.0000,0
25,0,45739,1,264.85,65,38.7,790921,0.0001,0
30,0,35463,1,332.12,155,39.8,749110,0.0015,0
0,44,52664,1,558.1,96,38.1,573306,0.0056,1
52,0,47090,1,274.12,12,35.5,2767678,0.0032,1
0,19,47875,1,347.96,45,35.1,545820,0.0000,0
57,0,45512,1,177.81,23,35.9,802033,0.0001,0
58,0,62474,5,2772.37,96,34.6,13309731,0.0036,1
59,0,50101,1,396.46,73,37.3,1417876,0.0004,0
46,0,59371,1,195.72,36,30.8,644314,0.0001,0
21,0,26410,1,558.79,96,28.3,1054086,0.0006,0
57,0,46620,1,292.58,23,35,1437210,0.0002,0
30,0,57228,2,1120.98,155,39.8,6183668,0.0012,0
46,0,57005,1,1053.97,36,36.8,1613104,0.0041,1
46,0,62889,2,482.56,26,36.8,3623451,0.0004,0
58,0,44120,0,359.66,96,32.9,592097,0.0013,0
40,0,57953,1,336.19,65,36.5,1927066,0.0000,0
0,40,56650,0,1404.88,288,39.2,902743,0.0128,1
0,16,52431,1,282.24,37,37.8,1035822,0.0063,1
0,44,76681,3,2981.91,108,38.8,19489217,0.0010,0
30,0,56462,1,600.87,155,49.4,835999,0.0014,0
0,2,43988,1,79.33,16,32.2,676398,0.0008,0
30,0,48571,2,254.75,22,34.7,1433225,0.0001,0
36,0,58037,1,216.05,22,34.7,976258,0.0000,0
30,0,43491,3,623.45,155,36.2,2770160,0.0001,0
58,0,61712,2,464.89,96,36.2,899597,0.0011,0
30,0,45425,2,552.17,155,45.5,619984,0.0007,0
0,50,64440,2,1313.21,96,38,6257206,0.0006,0
0,12,46125,3,329.75,26,34.7,5406180,0.0020,0
0,44,58072,2,444.12,108,42.6,2283817,0.0008,0
0,30,57751,1,249.46,16,41.9,542069,0.0019,0
0,11,56991,3,364.05,17,36.7,2570222,0.0001,0
30,0,54228,1,374.11,155,45.1,563080,0.0012,0
0,45,53811,1,163.1,143,36.9,722914,0.0057,1
54,24,54585,2,982.86,324,39.5,1618874,0.0042,1
0,2,40831,1,114.03,16,24.6,736582,0.0000,0
30,0,55045,1,632.5,96,34.9,1603589,0.0001,0
52,0,59639,2,69.89,12,37,527805,0.0000,0
0,1,57301,1,293.82,88,33.5,1443377,0.0000,0
58,0,40486,2,167.76,96,32.7,5483979,0.0017,0
0,45,51167,1,327.6,143,31.7,1071081,0.0001,0
58,0,56278,3,440.04,96,36,2570457,0.0000,0
0,30,55883,2,353.79,90,38,2931961,0.0000,0
0,2,51736,1,152.48,16,31.4,1304453,0.0041,1
21,0,46995,3,340.77,44,34.1,2681737,0.0000,0
58,0,61386,1,789.38,96,34.7,3404946,0.0022,0
58,0,99424,3,1851.34,96,38.3,4557902,0.0007,0
58,0,106213,3,751.28,96,36.1,1943885,0.0000,0
58,0,64501,2,312.72,96,39.8,510536,0.0010,0
0,44,46175,1,317.93,108,42.3,566670,0.0027,1
0,19,74620,3,649.08,44,36.8,3887252,0.0023,0
0,19,45903,2,132.69,44,36.1,531293,0.0011,0
